G3_Anchor,Lineage,BuddyID,ChildScreenName
0,amydempsey,amydempsey:ZosiaBielski,119818938,ZosiaBielski
0,DACrosbie,DACrosbie:DanDelmar,197458714,DanDelmar
0,NickVanPraet,NickVanPraet:ZosiaBielski,119818938,ZosiaBielski
1,NickVanPraet,NickVanPraet:PaulJournet,26505168,PaulJournet
2,NickVanPraet,NickVanPraet:grassreporter,20423695,grassreporter
0,Deeyah_Khan,Deeyah_Khan:nazeem_hussain,321151129,nazeem_hussain
1,Deeyah_Khan,Deeyah_Khan:MariahCBlake,454098126,MariahCBlake
2,Deeyah_Khan,Deeyah_Khan:nickpwing,83788240,nickpwing
3,Deeyah_Khan,Deeyah_Khan:AditiJuneja3,545630206,AditiJuneja3
0,AnandWrites,AnandWrites:Camfed,23519852,Camfed
0,TaylorLorenz,TaylorLorenz:karenpinchin,65748029,karenpinchin
1,TaylorLorenz,TaylorLorenz:ceciliakang,16317567,ceciliakang
2,TaylorLorenz,TaylorLorenz:Lkhagva,16777778,Lkhagva
3,TaylorLorenz,TaylorLorenz:Mosheh,14153020,Mosheh
0,jroussiii,jroussiii:rolandscahill,19865053,rolandscahill
0,ethicsblogger,ethicsblogger:willwilkinson,2568461,willwilkinson
0,colleencunningh,colleencunningh:IWF,16667912,IWF
0,almel,almel:karhilam,18060393,karhilam
0,derekwwiley,derekwwiley:GeoffFolsom,1038119899,GeoffFolsom
0,byDavidGardner,byDavidGardner:Zigmanfreud,558360059,Zigmanfreud
0,BenHoffmanNYT,BenHoffmanNYT:DevinGordonX,3085881,DevinGordonX
1,BenHoffmanNYT,BenHoffmanNYT:JaredWeissNBA,33816689,JaredWeissNBA
2,BenHoffmanNYT,BenHoffmanNYT:byDavidGardner,36129624,byDavidGardner
0,katepkelly,katepkelly:ValerieVolco,226595853,ValerieVolco
1,katepkelly,katepkelly:DavidMDrucker,104299137,DavidMDrucker
2,katepkelly,katepkelly:kemc,16049944,kemc
0,sarahzimm95,sarahzimm95:POLITICOPro,207660339,POLITICOPro
0,AnnieGilbertson,AnnieGilbertson:amyoleary,16059332,amyoleary
1,AnnieGilbertson,AnnieGilbertson:KelseyProud,15504419,KelseyProud
0,frkearns,frkearns:Tess_Townsend,2706872107,Tess_Townsend
1,frkearns,frkearns:danahull,128288109,danahull
0,jpbrammer,jpbrammer:amandataub,156019120,amandataub
0,emilylandau,emilylandau:ZosiaBielski,119818938,ZosiaBielski
0,John_Birdsall,John_Birdsall:karenpinchin,65748029,karenpinchin
1,John_Birdsall,John_Birdsall:mariayagoda,377075543,mariayagoda
2,John_Birdsall,John_Birdsall:bmanuel,46181622,bmanuel
0,alorentzen,alorentzen:RoyScranton,1000010898,RoyScranton
0,alysonsinclair,alysonsinclair:rubenquesada,8188202,rubenquesada
1,alysonsinclair,alysonsinclair:parisreview,71256932,parisreview
2,alysonsinclair,alysonsinclair:JonLeeWriter,85176098,JonLeeWriter
0,CBoydCBC,CBoydCBC:NEWSneil,301134166,NEWSneil
1,CBoydCBC,CBoydCBC:KateMedia,195989000,KateMedia
0,tanyaspringer,tanyaspringer:agotoronto,98963477,agotoronto
